epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.820675253868103,0.0005,0.4016704857349396,0.5693219304084778,0.5515665411949158,0.19043605029582977,0.23526479303836823
1,0.6762745380401611,0.0005,0.302845299243927,0.42572352290153503,0.7023345828056335,0.39163681864738464,0.4571218192577362
2,0.6270084977149963,0.0005,0.2638597786426544,0.368303120136261,0.5473446249961853,0.18228298425674438,0.24165864288806915
3,0.5807976126670837,0.0005,0.23407888412475586,0.30715805292129517,0.5553905963897705,0.2173503339290619,0.26801955699920654
4,0.5563908219337463,0.0005,0.21357114613056183,0.2752072215080261,0.5288348197937012,0.1693623661994934,0.22685718536376953
5,0.537194013595581,0.0005,0.19242703914642334,0.25099679827690125,0.5245385766029358,0.1665220409631729,0.23216255009174347
6,0.5231844186782837,0.0005,0.18087992072105408,0.23656116425991058,0.5155697464942932,0.17774386703968048,0.22837981581687927
7,0.507213830947876,0.0005,0.17168006300926208,0.21774421632289886,0.5199109315872192,0.20183777809143066,0.25322413444519043
8,0.49384936690330505,0.0005,0.158224955201149,0.2045368254184723,0.5201895236968994,0.2196774184703827,0.2689845561981201
9,0.48434942960739136,0.0005,0.1562090367078781,0.20104138553142548,0.5140269994735718,0.21160709857940674,0.27276524901390076
10,0.4735296368598938,0.0005,0.1482653170824051,0.19472834467887878,0.4759261906147003,0.16153110563755035,0.21152259409427643
11,0.46245166659355164,0.0005,0.14587529003620148,0.18809880316257477,0.48369139432907104,0.18245792388916016,0.24726977944374084
12,0.4518945813179016,0.0005,0.14266647398471832,0.18304961919784546,0.4832826554775238,0.20389103889465332,0.2635918855667114
13,0.44381478428840637,0.0005,0.1429324895143509,0.18504159152507782,0.45931681990623474,0.19797098636627197,0.23321102559566498
14,0.4294992685317993,0.0005,0.13212525844573975,0.16982635855674744,0.4528440535068512,0.18507888913154602,0.23849064111709595
15,0.4182814955711365,0.0005,0.12521077692508698,0.16319960355758667,0.4526088535785675,0.20428717136383057,0.2563072144985199
16,0.41093623638153076,0.0005,0.12941616773605347,0.16838394105434418,0.4289863407611847,0.1867198348045349,0.22612419724464417
17,0.40122801065444946,0.0005,0.1269407719373703,0.16647985577583313,0.4180835485458374,0.18503358960151672,0.2220565229654312
18,0.3910905420780182,0.0005,0.12447743862867355,0.1632336974143982,0.4148983061313629,0.1898135095834732,0.23491773009300232
19,0.3805675208568573,0.0005,0.12037669122219086,0.15868180990219116,0.41076746582984924,0.20227405428886414,0.245162695646286
20,0.36965182423591614,0.0005,0.11776706576347351,0.15266209840774536,0.381255179643631,0.16551905870437622,0.1990291327238083
21,0.3643413484096527,0.0005,0.1224927008152008,0.16380703449249268,0.3573630154132843,0.13299337029457092,0.15602265298366547
22,0.3510071337223053,0.0005,0.11535131931304932,0.14896351099014282,0.36486464738845825,0.15650016069412231,0.2016337364912033
