epoch,loss,lr,mae,mape,rmse,val_loss,val_mae,val_mape,val_rmse
0,0.8792852759361267,0.001,0.3910127580165863,303.0393981933594,0.5347908735275269,0.7939220666885376,0.30684351921081543,119.6348648071289,0.35706016421318054
1,0.7449623346328735,0.001,0.21587681770324707,236.94712829589844,0.2792000472545624,0.7950916886329651,0.42025667428970337,144.65553283691406,0.48624157905578613
2,0.6770910620689392,0.001,0.18309099972248077,170.11434936523438,0.24290141463279724,0.6754058003425598,0.30094534158706665,121.26116943359375,0.34783652424812317
3,0.6030851602554321,0.001,0.1496821939945221,124.79898071289062,0.1924886554479599,0.6266329884529114,0.33050113916397095,102.05438232421875,0.3875890374183655
4,0.5360187292098999,0.001,0.12912531197071075,82.40131378173828,0.16752541065216064,0.5289450287818909,0.23270753026008606,125.97566986083984,0.2779516279697418
5,0.4768276512622833,0.001,0.12811970710754395,92.53785705566406,0.1679839938879013,0.45951950550079346,0.18981046974658966,142.9366912841797,0.22833962738513947
6,0.42144903540611267,0.001,0.1222686842083931,109.7459945678711,0.16184042394161224,0.42080071568489075,0.23976260423660278,101.46395111083984,0.27899497747421265
7,0.36938539147377014,0.001,0.10803103446960449,72.8038558959961,0.14132505655288696,0.36624521017074585,0.2098143994808197,92.40271759033203,0.2467634528875351
8,0.3246971666812897,0.001,0.101241335272789,82.15980529785156,0.13245593011379242,0.3271946310997009,0.2182057499885559,99.21038818359375,0.2532719075679779
9,0.285321980714798,0.001,0.09588318318128586,97.61006164550781,0.12374267727136612,0.28851741552352905,0.203227698802948,100.42633819580078,0.24124467372894287
10,0.2537747025489807,0.001,0.10716864466667175,92.39617156982422,0.1385122537612915,0.2510644495487213,0.17802214622497559,108.02793884277344,0.21347711980342865
11,0.22196775674819946,0.001,0.08996497094631195,76.29899597167969,0.11805963516235352,0.2225189208984375,0.16919063031673431,110.87081909179688,0.2067844718694687
12,0.19602833688259125,0.001,0.08547194302082062,86.03590393066406,0.11365511268377304,0.2203366756439209,0.24479621648788452,77.87042236328125,0.2927345335483551
13,0.1742805689573288,0.001,0.08839526772499084,75.7354507446289,0.11716192215681076,0.1938127726316452,0.22840210795402527,99.66853332519531,0.27165570855140686
14,0.1546919196844101,0.001,0.08678614348173141,60.30905532836914,0.1144862100481987,0.16761644184589386,0.1962876319885254,93.9894790649414,0.23929527401924133
15,0.1389394998550415,0.001,0.09098395705223083,76.93199920654297,0.12312619388103485,0.1516013890504837,0.19355902075767517,99.43070983886719,0.2374485582113266
