epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,2.0668694972991943,0.001,0.322640985250473,0.45228245854377747,2.9017746448516846,1.0830456018447876,1.1005656719207764
1,1.5516057014465332,0.001,0.15110504627227783,0.1956830471754074,1.4124376773834229,0.2506609857082367,0.2889673709869385
2,1.2090635299682617,0.001,0.12309889495372772,0.161538228392601,1.0809017419815063,0.17003783583641052,0.2110336571931839
3,0.944470226764679,0.001,0.11145055294036865,0.1453620195388794,0.8415030241012573,0.144410640001297,0.17620877921581268
4,0.7423197627067566,0.001,0.10448112338781357,0.13534480333328247,0.6851415634155273,0.18028448522090912,0.21781384944915771
5,0.5871698260307312,0.001,0.09552254527807236,0.12412334978580475,0.5381957292556763,0.1513262689113617,0.17933602631092072
6,0.4720054566860199,0.001,0.09639879316091537,0.12792091071605682,0.45308294892311096,0.17661736905574799,0.21820832788944244
7,0.3818064332008362,0.001,0.09319954365491867,0.12098916620016098,0.3784874975681305,0.182181254029274,0.2232651263475418
8,0.31386205554008484,0.001,0.09422940760850906,0.12230237573385239,0.32389524579048157,0.19144821166992188,0.23418080806732178
9,0.25889670848846436,0.001,0.08532986044883728,0.11432166397571564,0.2574009299278259,0.15346698462963104,0.18684597313404083
10,0.21782362461090088,0.001,0.08780676871538162,0.11568737775087357,0.25424981117248535,0.21393905580043793,0.2611708641052246
11,0.18775485455989838,0.001,0.09571336954832077,0.1267223358154297,0.20806166529655457,0.18450097739696503,0.22533965110778809
12,0.15867295861244202,0.001,0.08617641776800156,0.1136338859796524,0.16213640570640564,0.13856428861618042,0.16770502924919128
13,0.1383666843175888,0.001,0.08814526349306107,0.11719327419996262,0.1517678052186966,0.1582879275083542,0.1913319230079651
14,0.1185418963432312,0.001,0.07923385500907898,0.1048552393913269,0.13721634447574615,0.15760469436645508,0.19395823776721954
15,0.10391926020383835,0.001,0.07880596816539764,0.10392484068870544,0.12882199883460999,0.16496777534484863,0.20564885437488556
16,0.09301264584064484,0.001,0.08014373481273651,0.10776260495185852,0.14419539272785187,0.21775047481060028,0.2606801688671112
17,0.08459210395812988,0.001,0.08539962023496628,0.11245609074831009,0.10092476010322571,0.14400939643383026,0.18306197226047516
18,0.07542701810598373,0.001,0.08393574506044388,0.10874894261360168,0.0756840705871582,0.10408435761928558,0.12615659832954407
19,0.06752084940671921,0.001,0.07897605746984482,0.10385271906852722,0.08280134201049805,0.1339033544063568,0.17144867777824402
20,0.06192072853446007,0.001,0.08118150383234024,0.10657467693090439,0.05844343081116676,0.08311919867992401,0.10325805097818375
21,0.05892783775925636,0.001,0.08832396566867828,0.11584533005952835,0.066602423787117,0.12304197251796722,0.15322016179561615
22,0.05133785307407379,0.001,0.07579397410154343,0.10050349682569504,0.05481472238898277,0.09847480803728104,0.12473952025175095
23,0.04651976376771927,0.001,0.07099923491477966,0.09569305926561356,0.05422617495059967,0.1051485687494278,0.13720440864562988
24,0.04417230561375618,0.001,0.07920945435762405,0.10101871192455292,0.050079431384801865,0.10874872654676437,0.1327834576368332
25,0.04150385409593582,0.001,0.07796940952539444,0.10208296030759811,0.041418276727199554,0.08653709292411804,0.10855292528867722
26,0.042787790298461914,0.001,0.0912732183933258,0.11852317303419113,0.05023688077926636,0.12523306906223297,0.14999480545520782
27,0.03806675598025322,0.001,0.08102987706661224,0.10723049193620682,0.04008058086037636,0.0965145006775856,0.12106070667505264
28,0.03427036106586456,0.001,0.07599469274282455,0.09932833164930344,0.035620011389255524,0.08721153438091278,0.11081615835428238
29,0.03196089714765549,0.001,0.07454279065132141,0.09774672240018845,0.03263123705983162,0.08410345017910004,0.1056356281042099
30,0.029935697093605995,0.001,0.07334543764591217,0.09575167298316956,0.02588096261024475,0.05395791307091713,0.07625436037778854
31,0.02960842475295067,0.001,0.076942078769207,0.100544273853302,0.03477441519498825,0.10490988194942474,0.12669627368450165
32,0.02940749190747738,0.001,0.08206366747617722,0.10638093948364258,0.03914230316877365,0.11651163548231125,0.14691951870918274
33,0.025814997032284737,0.001,0.07120172679424286,0.09428753703832626,0.03346730396151543,0.10718439519405365,0.13147151470184326
34,0.023850979283452034,0.001,0.06945037841796875,0.09042566269636154,0.02577851340174675,0.08042129129171371,0.10296041518449783
